Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
Card Payment,Current,2023-06-21 04:35:03,2023-06-22 06:25:12,Stagecoach,-2.00,0.00,GBP,COMPLETED,20.00
Topup,Current,2023-06-21 08:47:34,2023-06-21 08:47:39,Top-up by *4895,20.00,0.00,GBP,COMPLETED,22.00
Card Payment,Current,2023-06-21 13:27:29,2023-06-22 13:43:10,Nth.tee & H Nhs Ft C U,-4.75,0.00,GBP,COMPLETED,15.25
Topup,Current,2023-06-26 15:08:54,2023-06-26 15:08:57,Top-up by *4895,20.00,0.00,GBP,COMPLETED,35.25
Card Payment,Current,2023-06-26 15:09:14,2023-06-27 02:40:36,Trainline,-24.44,0.00,GBP,COMPLETED,10.81
Card Payment,Current,2023-06-28 02:22:57,2023-06-29 06:08:58,Stagecoach,-2.00,0.00,GBP,COMPLETED,8.81
Card Payment,Current,2023-06-28 06:00:50,2023-06-29 06:09:02,Stagecoach,-2.00,0.00,GBP,COMPLETED,2.81
Card Payment,Current,2023-06-28 11:41:59,2023-06-29 06:09:02,Stagecoach,-2.00,0.00,GBP,COMPLETED,6.81
Card Payment,Current,2023-06-28 15:17:12,2023-06-29 06:09:02,Stagecoach,-2.00,0.00,GBP,COMPLETED,4.81
Topup,Current,2023-06-29 15:55:38,2023-06-29 15:55:51,Top-up by *4895,20.00,0.00,GBP,COMPLETED,22.81
Card Payment,Current,2023-06-29 20:22:29,2023-06-30 19:03:18,Transport for London,-4.70,0.00,GBP,COMPLETED,18.11
Card Payment,Current,2023-06-30 16:11:09,2023-07-01 02:41:38,Too Good To Go,-2.50,0.00,GBP,COMPLETED,15.61
Card Payment,Current,2023-07-04 00:59:59,2023-07-04 13:47:01,Transport for London,-3.60,0.00,GBP,COMPLETED,12.01
Card Payment,Current,2023-07-05 00:59:59,2023-07-05 12:45:24,Transport for London,-3.60,0.00,GBP,COMPLETED,8.41
Card Payment,Current,2023-07-06 15:34:20,,Airbnb,-0.79,0.00,GBP,REVERTED,
Card Payment,Current,2023-07-07 13:07:25,,Google,-1.00,0.00,GBP,REVERTED,
Topup,Current,2023-07-07 13:08:09,2023-07-07 13:08:15,Top-up by *4895,12.10,0.00,GBP,COMPLETED,20.51
Card Payment,Current,2023-07-07 13:08:26,2023-07-08 02:29:45,Google,-9.72,0.00,GBP,COMPLETED,30.79
Topup,Current,2023-07-07 17:20:20,2023-07-07 17:20:27,Top-up by *4895,10.00,0.00,GBP,COMPLETED,30.51
Card Payment,Current,2023-07-07 18:33:28,2023-07-08 18:32:44,Transport for London,-10.20,0.00,GBP,COMPLETED,3.91
Topup,Current,2023-07-07 22:29:34,2023-07-07 22:29:36,Top-up by *4895,10.00,0.00,GBP,COMPLETED,40.51
Card Payment,Current,2023-07-07 22:30:22,2023-07-08 06:05:51,MegaBus,-16.68,0.00,GBP,COMPLETED,14.11
Card Payment,Current,2023-07-11 14:54:59,2023-07-12 02:36:55,Too Good To Go,-3.00,0.00,GBP,COMPLETED,55.91
Topup,Current,2023-07-11 21:43:22,2023-07-11 21:43:22,Payment from N SHAHID,35.00,0.00,GBP,COMPLETED,38.91
Topup,Current,2023-07-11 21:48:03,2023-07-11 21:48:03,Payment from N SHAHID,20.00,0.00,GBP,COMPLETED,58.91
Card Payment,Current,2023-07-12 11:37:45,2023-07-13 12:21:56,Waitrose,-4.90,0.00,GBP,COMPLETED,51.01
Card Payment,Current,2023-07-12 11:46:37,2023-07-13 18:31:06,Transport for London,-4.70,0.00,GBP,COMPLETED,43.71
Card Payment,Current,2023-07-12 16:35:43,2023-07-13 12:23:08,Greggs,-2.60,0.00,GBP,COMPLETED,48.41
Card Payment,Current,2023-07-13 03:42:21,2023-07-14 06:24:22,Stagecoach,-2.00,0.00,GBP,COMPLETED,41.71
Card Payment,Current,2023-07-13 06:23:53,2023-07-14 14:00:48,Pret,-7.00,0.00,GBP,COMPLETED,27.04
Card Payment,Current,2023-07-13 14:54:28,2023-07-14 13:53:03,Uber,-7.67,0.00,GBP,COMPLETED,34.04
Card Payment,Current,2023-07-14 00:59:59,2023-07-14 19:40:29,Transport for London,-2.80,0.00,GBP,COMPLETED,24.24
Card Payment,Current,2023-07-14 16:35:17,2023-07-15 06:17:08,Spice Hut,-8.20,0.00,GBP,COMPLETED,16.04
Card Payment,Current,2023-07-14 17:25:12,2023-07-15 14:30:56,Vapecloudz,-12.00,0.00,GBP,COMPLETED,4.04
Card Payment,Current,2023-07-14 18:07:13,2023-07-15 17:48:16,Stratford Food Centre,-5.57,0.00,GBP,COMPLETED,8.47
Topup,Current,2023-07-15 14:41:34,2023-07-15 14:41:39,Top-up by *4895,10.00,0.00,GBP,COMPLETED,14.04
Card Payment,Current,2023-07-15 14:41:55,2023-07-17 13:58:27,Corner News,-1.09,0.00,GBP,COMPLETED,27.38
Topup,Current,2023-07-16 08:46:01,2023-07-16 08:46:04,Top-up by *4895,10.00,0.00,GBP,COMPLETED,18.47
Card Payment,Current,2023-07-16 08:49:20,2023-07-17 14:45:15,McDonald's,-5.69,0.00,GBP,COMPLETED,16.79
Card Payment,Current,2023-07-17 00:59:59,2023-07-17 14:40:23,Transport for London,-4.90,0.00,GBP,COMPLETED,22.48
Topup,Current,2023-07-17 10:11:56,2023-07-17 10:11:59,Top-up by *4895,10.00,0.00,GBP,COMPLETED,28.47
Card Payment,Current,2023-07-17 14:07:15,,Forest,-0.60,0.00,GBP,REVERTED,
Card Payment,Current,2023-07-17 14:08:31,,Forest,-5.00,0.00,GBP,REVERTED,
Card Payment,Current,2023-07-17 14:20:33,,Forest,-5.00,0.00,GBP,REVERTED,
Card Payment,Current,2023-07-17 14:38:45,2023-07-18 03:08:24,Beigel Bake,-6.00,0.00,GBP,COMPLETED,10.79
Card Payment,Current,2023-07-17 15:44:29,2023-07-18 06:09:45,Tesco,-5.10,0.00,GBP,COMPLETED,5.69
Card Payment,Current,2023-07-18 02:41:18,2023-07-18 12:06:09,Transport for London,-4.90,0.00,GBP,COMPLETED,22.25
Topup,Current,2023-07-18 08:32:37,2023-07-18 08:32:39,Top-up by *4895,21.46,0.00,GBP,COMPLETED,27.15
Card Payment,Current,2023-07-18 08:32:55,2023-07-19 02:52:33,Too Good To Go,-2.25,0.00,GBP,COMPLETED,20.00
Card Payment,Current,2023-07-18 18:58:21,2023-07-19 06:04:07,Too Good To Go,-3.50,0.00,GBP,COMPLETED,16.50
Card Payment,Current,2023-07-18 21:13:51,2023-07-19 06:19:42,Tesco,-5.35,0.00,GBP,COMPLETED,11.15
Topup,Current,2023-07-19 18:47:26,2023-07-19 18:47:30,Top-up by *4895,10.00,0.00,GBP,COMPLETED,21.15
Card Payment,Current,2023-07-19 18:49:39,2023-07-20 06:10:42,Nando's,-10.50,0.00,GBP,COMPLETED,10.65
Card Payment,Current,2023-07-19 19:20:16,2023-07-20 13:17:09,Morrisons,-4.00,0.00,GBP,COMPLETED,6.65
Card Payment,Current,2023-07-20 00:59:59,2023-07-20 17:40:46,Transport for London,-4.20,0.00,GBP,COMPLETED,2.45
Topup,Current,2023-07-20 17:52:34,2023-07-20 17:54:20,Top-up by *4895,22.55,0.00,GBP,COMPLETED,25.00
Topup,Current,2023-07-20 17:52:41,2023-07-20 17:54:20,Top-up by *4895,22.55,0.00,GBP,COMPLETED,47.55
Topup,Current,2023-07-20 17:54:04,2023-07-20 17:54:56,Top-up by *4895,10.00,0.00,GBP,COMPLETED,57.55
Card Payment,Current,2023-07-20 17:54:45,2023-07-21 02:52:57,Too Good To Go,-5.00,0.00,GBP,COMPLETED,52.55
Card Payment,Current,2023-07-20 20:35:54,2023-07-21 06:15:26,Tesco,-6.15,0.00,GBP,COMPLETED,46.40
Card Payment,Current,2023-07-20 20:46:33,2023-07-21 13:31:44,Corner News,-1.20,0.00,GBP,COMPLETED,45.20
Card Payment,Current,2023-07-21 19:40:58,2023-07-22 20:06:44,Just Eat,-11.80,0.00,GBP,COMPLETED,33.40
Card Payment,Current,2023-07-24 13:05:43,2023-07-25 13:04:26,Whipps Cross University Hospital,-5.99,0.00,GBP,COMPLETED,25.66
Card Payment,Current,2023-07-24 17:41:00,2023-07-25 12:55:50,Transport for London,-1.75,0.00,GBP,COMPLETED,31.65
Card Payment,Current,2023-07-25 07:48:59,2023-07-26 12:27:32,Whipps Cross University Hospital,-2.60,0.00,GBP,COMPLETED,17.07
Card Payment,Current,2023-07-25 13:26:36,2023-07-26 12:27:28,Whipps Cross University Hospital,-5.99,0.00,GBP,COMPLETED,19.67
Card Payment,Current,2023-07-26 00:59:59,2023-07-26 17:52:37,Transport for London,-3.50,0.00,GBP,COMPLETED,13.57
Card Payment,Current,2023-07-26 07:41:24,2023-07-27 12:17:04,Whipps Cross University Hospital,-3.99,0.00,GBP,COMPLETED,19.58
Card Payment,Current,2023-07-26 08:48:23,2023-07-27 13:10:06,Marks & Spencer,-4.50,0.00,GBP,COMPLETED,15.08
Card Payment,Current,2023-07-27 00:59:59,2023-07-27 18:51:31,Transport for London,-3.50,0.00,GBP,COMPLETED,11.58
Topup,Current,2023-07-27 07:10:28,2023-07-27 07:10:30,Top-up by *4895,10.00,0.00,GBP,COMPLETED,23.57
Card Payment,Current,2023-07-27 12:20:37,2023-07-28 14:47:12,Whipps Cross University Hospital,-4.54,0.00,GBP,COMPLETED,19.29
Card Payment,Current,2023-07-27 14:16:17,2023-07-28 14:47:08,Whipps Cross University Hospital,-3.10,0.00,GBP,COMPLETED,23.83
Topup,Current,2023-07-27 19:24:06,2023-07-27 19:24:11,Top-up by *4895,20.00,0.00,GBP,COMPLETED,31.58
Card Payment,Current,2023-07-27 20:17:18,2023-07-28 06:12:38,Tesco,-4.65,0.00,GBP,COMPLETED,26.93
Card Payment,Current,2023-07-28 00:59:59,2023-07-28 18:10:50,Transport for London,-3.50,0.00,GBP,COMPLETED,15.79
Card Payment,Current,2023-07-28 07:49:24,2023-07-29 12:37:23,Whipps Cross University Hospital,-3.42,0.00,GBP,COMPLETED,26.38
Card Payment,Current,2023-07-28 13:19:08,2023-07-29 12:37:19,Whipps Cross University Hospital,-5.99,0.00,GBP,COMPLETED,29.80
Topup,Current,2023-07-28 19:11:42,2023-07-28 19:11:48,Top-up by *4895,20.00,0.00,GBP,COMPLETED,35.79
Card Payment,Current,2023-07-28 19:14:18,2023-07-29 19:14:08,Just Eat,-11.45,0.00,GBP,COMPLETED,31.43
Card Payment,Current,2023-07-29 02:47:59,2023-07-29 19:08:31,Transport for London,-3.50,0.00,GBP,COMPLETED,42.88
Card Payment,Current,2023-07-29 15:41:02,2023-07-30 15:02:07,Cloud City Vapes | Leytonstone,-9.99,0.00,GBP,COMPLETED,54.65
Topup,Current,2023-07-29 15:55:02,2023-07-29 15:55:13,Top-up by *4895,20.00,0.00,GBP,COMPLETED,46.38
Card Payment,Current,2023-07-29 15:55:18,2023-07-30 06:03:47,Dixy Chicken,-6.79,0.00,GBP,COMPLETED,64.64
Topup,Current,2023-07-29 21:41:02,2023-07-29 21:41:12,Top-up by *4895,40.00,0.00,GBP,COMPLETED,71.43
Card Payment,Current,2023-07-29 21:41:37,2023-07-31 14:31:44,Fourteen,-10.00,0.00,GBP,COMPLETED,26.55
Card Payment,Current,2023-07-30 00:59:59,2023-07-30 18:19:29,Transport for London,-8.10,0.00,GBP,COMPLETED,46.55
Card Payment,Current,2023-07-30 15:51:59,2023-07-31 14:39:53,Just Eat,-11.45,0.00,GBP,COMPLETED,15.10
Topup,Current,2023-07-31 07:22:01,2023-07-31 07:22:02,Top-up by *4895,40.00,0.00,GBP,COMPLETED,86.55
Transfer,Current,2023-07-31 07:23:50,2023-07-31 07:23:52,To Ajay Ramesh,-50.00,0.00,GBP,COMPLETED,36.55
Card Payment,Current,2023-07-31 07:49:11,2023-08-02 12:36:11,Whipps Cross University Hospital,-3.51,0.00,GBP,COMPLETED,31.20
Card Payment,Current,2023-07-31 09:24:09,2023-08-01 13:04:54,Whipps Cross University Hospital,-3.10,0.00,GBP,COMPLETED,44.10
Card Payment,Current,2023-07-31 13:45:49,2023-08-01 13:04:55,Whipps Cross University Hospital,-5.99,0.00,GBP,COMPLETED,38.11
Card Payment,Current,2023-07-31 14:21:33,2023-08-01 03:00:52,Forest,-1.00,0.00,GBP,COMPLETED,54.10
Topup,Current,2023-07-31 21:49:27,2023-07-31 21:49:30,Top-up by *4895,40.00,0.00,GBP,COMPLETED,55.10
Card Payment,Current,2023-07-31 21:49:38,2023-08-01 06:06:43,Tesco,-3.40,0.00,GBP,COMPLETED,50.70
Card Payment,Current,2023-07-31 23:29:33,,Amazon Web Services,-0.78,0.00,GBP,REVERTED,
Card Payment,Current,2023-08-01 00:59:59,2023-08-01 12:56:12,Transport for London,-3.50,0.00,GBP,COMPLETED,47.20
Card Payment,Current,2023-08-01 07:36:39,2023-08-02 12:36:11,Whipps Cross University Hospital,-3.99,0.00,GBP,COMPLETED,19.57
Card Payment,Current,2023-08-01 11:51:28,2023-08-02 12:36:11,Whipps Cross University Hospital,-3.10,0.00,GBP,COMPLETED,23.56
Card Payment,Current,2023-08-01 13:30:12,2023-08-02 12:36:11,Whipps Cross University Hospital,-4.54,0.00,GBP,COMPLETED,26.66
Card Payment,Current,2023-08-01 19:54:29,2023-08-02 06:19:07,Tesco,-3.40,0.00,GBP,COMPLETED,34.71
Card Payment,Current,2023-08-02 03:40:25,2023-08-02 18:14:49,Transport for London,-3.50,0.00,GBP,COMPLETED,16.07
Card Payment,Current,2023-08-02 07:41:13,2023-08-03 12:25:07,Whipps Cross University Hospital,-3.10,0.00,GBP,COMPLETED,26.98
Card Payment,Current,2023-08-02 12:48:10,2023-08-03 12:25:07,Whipps Cross University Hospital,-5.99,0.00,GBP,COMPLETED,30.08
Card Payment,Current,2023-08-02 17:19:34,2023-08-03 13:11:26,Marks & Spencer,-4.50,0.00,GBP,COMPLETED,22.48
Card Payment,Current,2023-08-03 00:59:59,2023-08-03 18:26:18,Transport for London,-3.50,0.00,GBP,COMPLETED,18.98
Topup,Current,2023-08-03 07:39:12,2023-08-03 07:39:14,Top-up by *4895,20.00,0.00,GBP,COMPLETED,36.07
Card Payment,Current,2023-08-03 09:44:56,2023-08-04 12:19:12,Whipps Cross University Hospital,-3.95,0.00,GBP,COMPLETED,22.08
Card Payment,Current,2023-08-03 13:06:36,2023-08-04 12:19:12,Whipps Cross University Hospital,-5.81,0.00,GBP,COMPLETED,16.27
Topup,Current,2023-08-03 19:47:56,2023-08-03 19:48:00,Top-up by *4895,20.00,0.00,GBP,COMPLETED,38.98
Card Payment,Current,2023-08-03 19:48:10,2023-08-04 06:32:33,Pizza Tow,-12.95,0.00,GBP,COMPLETED,26.03
Card Payment,Current,2023-08-04 00:59:59,2023-08-04 18:02:20,Transport for London,-3.50,0.00,GBP,COMPLETED,12.77
Card Payment,Current,2023-08-04 07:42:19,2023-08-05 12:19:33,Whipps Cross University Hospital,-3.26,0.00,GBP,COMPLETED,13.13
Card Payment,Current,2023-08-04 12:19:36,2023-08-05 12:19:33,Whipps Cross University Hospital,-4.54,0.00,GBP,COMPLETED,16.39
Card Payment,Current,2023-08-04 20:41:08,2023-08-05 12:14:36,Waitrose,-3.85,0.00,GBP,COMPLETED,20.93
Topup,Current,2023-08-04 20:46:09,2023-08-04 20:46:11,Top-up by *4895,20.00,0.00,GBP,COMPLETED,32.77
Card Payment,Current,2023-08-04 20:47:15,2023-08-05 11:45:02,Popeyes,-7.99,0.00,GBP,COMPLETED,24.78
Card Payment,Current,2023-08-05 00:59:59,2023-08-05 18:05:35,Transport for London,-3.50,0.00,GBP,COMPLETED,9.63
Card Payment,Current,2023-08-05 20:20:45,2023-08-07 02:52:01,McDonald's,-6.81,0.00,GBP,COMPLETED,12.17
Topup,Current,2023-08-05 21:00:22,2023-08-05 21:00:25,Top-up by *4895,20.00,0.00,GBP,COMPLETED,29.63
Card Payment,Current,2023-08-05 21:00:30,2023-08-06 05:53:59,Tesco,-10.65,0.00,GBP,COMPLETED,18.98
Topup,Current,2023-08-07 13:54:36,2023-08-07 13:54:40,Top-up by *4895,40.00,0.00,GBP,COMPLETED,52.17
Card Payment,Current,2023-08-07 13:54:55,2023-08-08 03:08:00,Pizza Tow,-11.99,0.00,GBP,COMPLETED,40.18
Card Payment,Current,2023-08-07 18:36:27,2023-08-08 06:02:33,Tesco,-4.65,0.00,GBP,COMPLETED,35.53
Card Payment,Current,2023-08-07 18:41:02,2023-08-08 17:31:28,Stratford Food Centre,-16.99,0.00,GBP,COMPLETED,14.34
Card Payment,Current,2023-08-08 00:59:59,2023-08-08 17:30:53,Transport for London,-4.20,0.00,GBP,COMPLETED,31.33
Card Payment,Current,2023-08-08 15:32:03,2023-08-09 02:40:56,Too Good To Go,-4.00,0.00,GBP,COMPLETED,10.34
Card Payment,Current,2023-08-09 20:53:40,2023-08-10 06:22:17,Dixy Chicken,-5.79,0.00,GBP,COMPLETED,4.55
Topup,Current,2023-08-10 16:13:10,2023-08-10 16:13:16,Top-up by *4895,40.00,0.00,GBP,COMPLETED,44.55
Card Payment,Current,2023-08-10 16:13:20,2023-08-11 06:13:06,Tesco,-6.80,0.00,GBP,COMPLETED,37.75
Card Payment,Current,2023-08-11 18:44:49,2023-08-12 06:23:33,Tesco,-6.80,0.00,GBP,COMPLETED,30.95
Card Payment,Current,2023-08-11 18:50:12,2023-08-12 21:24:18,Stratford Food Centre,-6.99,0.00,GBP,COMPLETED,17.26
Card Payment,Current,2023-08-12 02:35:30,2023-08-12 21:22:49,Transport for London,-6.70,0.00,GBP,COMPLETED,24.25
Card Payment,Current,2023-08-13 17:15:45,2023-08-14 13:14:44,Chatham Express,-1.39,0.00,GBP,COMPLETED,12.37
Card Payment,Current,2023-08-13 17:19:38,2023-08-14 02:48:25,Too Good To Go,-3.50,0.00,GBP,COMPLETED,13.76
Card Payment,Current,2023-08-13 17:37:16,2023-08-14 13:52:22,McDonald's,-6.01,0.00,GBP,COMPLETED,2.56
Card Payment,Current,2023-08-14 00:59:59,2023-08-14 13:48:05,Transport for London,-3.80,0.00,GBP,COMPLETED,8.57
Topup,Current,2023-08-14 20:55:09,2023-08-14 20:55:13,Top-up by *4895,40.00,0.00,GBP,COMPLETED,42.56
Card Payment,Current,2023-08-14 20:55:17,2023-08-15 06:17:07,Tesco,-6.80,0.00,GBP,COMPLETED,30.06
Card Payment,Current,2023-08-14 21:00:52,2023-08-15 06:14:44,Spice Hut,-5.70,0.00,GBP,COMPLETED,36.86
Card Payment,Current,2023-08-15 19:06:03,2023-08-16 06:01:41,Mnk Thattukada,-9.00,0.00,GBP,COMPLETED,16.16
Card Payment,Current,2023-08-15 19:43:33,2023-08-16 06:01:00,Tesco,-4.90,0.00,GBP,COMPLETED,25.16
Card Payment,Current,2023-08-15 19:48:54,2023-08-16 17:01:41,Stratford Food Centre,-6.99,0.00,GBP,COMPLETED,5.47
Card Payment,Current,2023-08-16 00:59:59,2023-08-16 17:01:13,Transport for London,-3.70,0.00,GBP,COMPLETED,12.46
Topup,Current,2023-08-16 20:34:52,2023-08-16 20:34:54,Top-up by *4895,10.00,0.00,GBP,COMPLETED,15.47
Card Payment,Current,2023-08-16 20:35:28,2023-08-17 06:20:33,Pizza Tow,-12.95,0.00,GBP,COMPLETED,2.52
Topup,Current,2023-08-17 17:57:06,2023-08-17 17:57:09,Top-up by *4895,40.00,0.00,GBP,COMPLETED,42.52
Card Payment,Current,2023-08-17 18:40:54,2023-08-18 06:22:53,Tesco,-4.90,0.00,GBP,COMPLETED,37.62
Card Payment,Current,2023-08-18 08:59:52,2023-08-19 12:51:55,Whipps Cross University Hospital,-3.10,0.00,GBP,COMPLETED,19.88
Card Payment,Current,2023-08-18 20:40:01,2023-08-19 12:20:08,Popeyes,-11.24,0.00,GBP,COMPLETED,22.98
Card Payment,Current,2023-08-18 21:27:14,2023-08-19 06:27:07,Tesco,-3.40,0.00,GBP,COMPLETED,34.22
Card Payment,Current,2023-08-19 00:59:59,2023-08-19 17:21:58,Transport for London,-3.50,0.00,GBP,COMPLETED,16.38
Card Payment,Current,2023-08-19 20:01:37,2023-08-20 04:57:05,Ben's Cookies,-2.20,0.00,GBP,COMPLETED,34.18
Card Payment,Current,2023-08-19 22:15:19,2023-08-20 16:51:17,Hamilton Hall,-11.16,0.00,GBP,COMPLETED,28.31
Topup,Current,2023-08-19 23:16:33,2023-08-19 23:16:38,Top-up by *4895,20.00,0.00,GBP,COMPLETED,36.38
Card Payment,Current,2023-08-19 23:18:04,2023-08-20 16:51:17,Hamilton Hall,-6.11,0.00,GBP,COMPLETED,39.47
Card Payment,Current,2023-08-20 00:07:32,2023-08-20 17:05:20,Kiosk,-1.50,0.00,GBP,COMPLETED,26.81
Card Payment,Current,2023-08-20 02:13:53,2023-08-20 16:47:52,Transport for London,-8.60,0.00,GBP,COMPLETED,45.58
Topup,Current,2023-08-20 10:30:23,2023-08-20 10:30:32,Top-up by *4895,20.00,0.00,GBP,COMPLETED,54.18
Card Payment,Current,2023-08-20 12:38:34,2023-08-21 14:14:04,Co-op,-2.85,0.00,GBP,COMPLETED,-4.04
Card Payment,Current,2023-08-20 14:34:35,2023-08-21 02:45:07,Jaksoch Ltd,-9.00,0.00,GBP,COMPLETED,17.81
Card Payment,Current,2023-08-20 21:50:07,2023-08-21 06:21:02,Tesco,-3.40,0.00,GBP,COMPLETED,7.41
Card Payment,Current,2023-08-20 21:56:03,2023-08-21 06:18:46,Spice Hut,-7.00,0.00,GBP,COMPLETED,10.81
Card Payment,Current,2023-08-21 00:59:59,2023-08-21 14:12:17,Transport for London,-8.60,0.00,GBP,COMPLETED,-1.19
Topup,Current,2023-08-21 19:07:04,2023-08-21 19:07:06,Top-up by *4895,20.00,0.00,GBP,COMPLETED,15.96
Card Payment,Current,2023-08-21 19:38:41,2023-08-22 06:22:21,Pizza Tow,-11.94,0.00,GBP,COMPLETED,4.02
Topup,Current,2023-08-22 18:11:44,2023-08-22 18:11:47,Top-up by *4895,20.00,0.00,GBP,COMPLETED,24.02
Card Payment,Current,2023-08-22 20:24:02,2023-08-23 12:44:37,Uber,-8.94,0.00,GBP,COMPLETED,15.08
Card Payment,Current,2023-08-23 02:29:32,2023-08-23 17:39:40,Transport for London,-6.80,0.00,GBP,COMPLETED,8.28
Card Payment,Current,2023-08-23 13:58:49,2023-08-24 12:20:13,Sainsbury's,-3.00,0.00,GBP,COMPLETED,5.28
Card Payment,Current,2023-08-23 20:11:38,2023-08-24 12:20:13,Sainsbury's,-5.25,0.00,GBP,COMPLETED,0.03
Topup,Current,2023-08-24 15:23:02,2023-08-24 15:23:05,Top-up by *4895,20.00,0.00,GBP,COMPLETED,20.03
